"Trabalho.1" "P1" "Total.P1" "Trabalho.2" "P2" "Total.P2" "Média.P2" "Ata.P1" "Ata.P2" "Turno" "Turma" "Tempo1" "Tempo2" "Abandono" "Existente"
"212" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4BN" 1.5 5.5 NA "N"
"213" 1 8.5 9.5 2 6 8 8.6 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"214" 0 10 10 2 7.5 9.5 9.7 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"215" 0 10 10 2 8 10 10 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"216" 1 7 8 2 0.5 2.5 4.7 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"217" 1 6.5 7.5 2 5.3 7.3 7.4 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"218" 0.5 9.5 10 2 8 10 10 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"219" 1 2.5 3.5 2 5 7 5.6 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"220" 1 4 5 2 6.5 8.5 7.1 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"221" 0 0 0 0 0 0 0 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"222" 1 8 9 2 8 10 9.6 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"223" 1 5 6 2 6.3 8.3 7.4 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"224" 1 8.5 9.5 2 6.4 8.4 8.8 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"225" 1 4 5 2 5 7 6.2 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"226" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4BN" 1.5 5.5 NA "N"
"227" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4BN" 1.5 5.5 NA "N"
"228" 1 8.5 9.5 2 7.9 9.9 9.7 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"229" 1 4 5 2 5 7 6.2 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"230" 1 3.5 4.5 0 0 0 1.8 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"231" 1 4 5 2 5.5 7.5 6.5 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"232" 1 7 8 2 3.5 5.5 6.5 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"233" 1 8.5 9.5 2 7.9 9.9 9.7 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"234" 1 3.5 4.5 2 2.7 4.7 4.6 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"235" NA NA 0 NA NA 0 0 "S" "S" "2N" "Civil4BN" 1.5 5.5 NA "N"
"236" 1 4.5 5.5 2 1.5 3.5 4.3 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"237" 1 7 8 2 2.5 4.5 5.9 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"238" 1 6.5 7.5 0 2.5 2.5 4.5 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
"239" 0 0 0 0 0 0 0 "S" "S" "2N" "Civil4BN" 1.5 5.5 "N" "S"
